Fecha y Hora,PM2.5_14D6 (μg/m³),Temperatura (°C),Humedad (%),Lat,Long
2026-01-01 00:00:00,52.96,18.43,51.5,3.4516,-76.532
2026-01-01 01:00:00,21.74,30.52,75.6,3.4516,-76.532
2026-01-01 02:00:00,71.91,19.48,60.32,3.4516,-76.532
2026-01-01 03:00:00,7.23,21.72,65.32,3.4516,-76.532
2026-01-01 04:00:00,6.99,21.38,73.99,3.4516,-76.532
2026-01-01 05:00:00,45.87,21.75,70.36,3.4516,-76.532
2026-01-01 06:00:00,65.71,18.11,83.35,3.4516,-76.532
2026-01-01 07:00:00,57.36,23.78,44.33,3.4516,-76.532
2026-01-01 08:00:00,76.79,23.72,40.56,3.4516,-76.532
2026-01-01 09:00:00,12.25,32.41,71.22,3.4516,-76.532
2026-01-01 10:00:00,65.53,30.41,67.17,3.4516,-76.532
2026-01-01 11:00:00,77.98,24.44,68.12,3.4516,-76.532
2026-01-01 12:00:00,67.21,28.51,86.7,3.4516,-76.532
2026-01-01 13:00:00,48.3,29.98,37.75,3.4516,-76.532
2026-01-01 14:00:00,22.09,22.92,39.79,3.4516,-76.532
2026-01-01 15:00:00,22.46,19.72,51.68,3.4516,-76.532
2026-01-01 16:00:00,52.68,24.2,57.21,3.4516,-76.532
2026-01-01 17:00:00,20.71,22.54,91.2,3.4516,-76.532
2026-01-01 18:00:00,53.6,28.36,45.27,3.4516,-76.532
2026-01-01 19:00:00,59.68,20.78,57.77,3.4516,-76.532
2026-01-01 20:00:00,79.21,28.88,68.42,3.4516,-76.532
2026-01-01 21:00:00,56.35,32.33,81.56,3.4516,-76.532
2026-01-01 22:00:00,22.18,18.55,53.93,3.4516,-76.532
2026-01-01 23:00:00,25.08,21.59,91.57,3.4516,-76.532
2026-01-02 00:00:00,70.73,23.35,74.33,3.4516,-76.532
2026-01-02 01:00:00,34.67,33.55,62.53,3.4516,-76.532
2026-01-02 02:00:00,24.87,22.19,68.68,3.4516,-76.532
2026-01-02 03:00:00,24.71,27.94,88.87,3.4516,-76.532
2026-01-02 04:00:00,34.96,21.73,94.85,3.4516,-76.532
2026-01-02 05:00:00,43.21,19.55,37.83,3.4516,-76.532
2026-01-02 06:00:00,13.22,28.67,82.52,3.4516,-76.532
2026-01-02 07:00:00,36.66,19.08,57.9,3.4516,-76.532
2026-01-02 08:00:00,79.71,26.99,93.26,3.4516,-76.532
2026-01-02 09:00:00,69.56,18.2,78.24,3.4516,-76.532
2026-01-02 10:00:00,56.13,27.13,51.01,3.4516,-76.532
2026-01-02 11:00:00,53.07,19.9,61.09,3.4516,-76.532
2026-01-02 12:00:00,39.03,34.21,87.55,3.4516,-76.532
2026-01-02 13:00:00,24.75,26.51,45.72,3.4516,-76.532
2026-01-02 14:00:00,73.45,32.8,52.91,3.4516,-76.532
2026-01-02 15:00:00,52.92,28.35,44.17,3.4516,-76.532
2026-01-02 16:00:00,62.19,27.17,81.72,3.4516,-76.532
2026-01-02 17:00:00,44.78,18.01,54.45,3.4516,-76.532
2026-01-02 18:00:00,6.46,33.79,87.72,3.4516,-76.532
2026-01-02 19:00:00,67.37,23.23,38.48,3.4516,-76.532
2026-01-02 20:00:00,70.85,34.1,40.14,3.4516,-76.532
2026-01-02 21:00:00,41.45,19.18,80.64,3.4516,-76.532
2026-01-02 22:00:00,62.44,20.18,63.52,3.4516,-76.532
2026-01-02 23:00:00,46.24,22.51,87.35,3.4516,-76.532
2026-01-03 00:00:00,36.74,21.6,67.36,3.4516,-76.532
2026-01-03 01:00:00,59.74,21.42,53.7,3.4516,-76.532
2026-01-03 02:00:00,79.64,29.05,61.29,3.4516,-76.532
2026-01-03 03:00:00,43.82,20.06,48.48,3.4516,-76.532
2026-01-03 04:00:00,30.36,28.0,48.81,3.4516,-76.532
2026-01-03 05:00:00,21.52,19.21,72.87,3.4516,-76.532
2026-01-03 06:00:00,22.17,33.39,86.58,3.4516,-76.532
2026-01-03 07:00:00,10.31,22.05,75.14,3.4516,-76.532
2026-01-03 08:00:00,21.07,20.25,91.13,3.4516,-76.532
2026-01-03 09:00:00,47.83,26.04,82.08,3.4516,-76.532
2026-01-03 10:00:00,65.56,21.24,40.82,3.4516,-76.532
2026-01-03 11:00:00,37.33,25.2,63.02,3.4516,-76.532
2026-01-03 12:00:00,59.68,29.45,94.05,3.4516,-76.532
2026-01-03 13:00:00,12.38,24.84,55.36,3.4516,-76.532
2026-01-03 14:00:00,69.63,22.23,46.41,3.4516,-76.532
2026-01-03 15:00:00,38.65,25.17,51.71,3.4516,-76.532
2026-01-03 16:00:00,23.74,33.7,61.59,3.4516,-76.532
2026-01-03 17:00:00,69.6,27.36,38.04,3.4516,-76.532
2026-01-03 18:00:00,79.95,32.21,93.14,3.4516,-76.532
2026-01-03 19:00:00,74.48,32.43,44.98,3.4516,-76.532
2026-01-03 20:00:00,41.42,21.63,59.06,3.4516,-76.532
2026-01-03 21:00:00,9.4,24.44,94.12,3.4516,-76.532
2026-01-03 22:00:00,24.89,31.33,62.3,3.4516,-76.532
2026-01-03 23:00:00,36.73,34.27,94.73,3.4516,-76.532
2026-01-04 00:00:00,46.68,30.21,44.29,3.4516,-76.532
2026-01-04 01:00:00,27.25,34.47,69.75,3.4516,-76.532
2026-01-04 02:00:00,45.66,30.72,38.43,3.4516,-76.532
2026-01-04 03:00:00,48.81,26.55,86.16,3.4516,-76.532
2026-01-04 04:00:00,16.81,34.33,39.81,3.4516,-76.532
2026-01-04 05:00:00,18.94,28.12,75.51,3.4516,-76.532
2026-01-04 06:00:00,22.64,20.04,88.42,3.4516,-76.532
2026-01-04 07:00:00,23.47,28.11,72.16,3.4516,-76.532
2026-01-04 08:00:00,36.44,27.92,66.37,3.4516,-76.532
2026-01-04 09:00:00,75.1,21.47,77.97,3.4516,-76.532
2026-01-04 10:00:00,22.9,24.73,75.3,3.4516,-76.532
2026-01-04 11:00:00,27.5,23.38,80.11,3.4516,-76.532
2026-01-04 12:00:00,10.44,25.79,94.91,3.4516,-76.532
2026-01-04 13:00:00,79.71,19.25,47.79,3.4516,-76.532
2026-01-04 14:00:00,24.89,33.87,87.85,3.4516,-76.532
2026-01-04 15:00:00,70.95,24.28,44.46,3.4516,-76.532
2026-01-04 16:00:00,67.53,29.96,71.7,3.4516,-76.532
2026-01-04 17:00:00,79.04,29.12,35.47,3.4516,-76.532
2026-01-04 18:00:00,66.28,23.09,74.8,3.4516,-76.532
2026-01-04 19:00:00,75.42,20.28,41.93,3.4516,-76.532
2026-01-04 20:00:00,13.03,27.4,51.34,3.4516,-76.532
2026-01-04 21:00:00,50.36,30.2,47.22,3.4516,-76.532
2026-01-04 22:00:00,52.57,22.49,64.31,3.4516,-76.532
2026-01-04 23:00:00,72.9,32.38,40.54,3.4516,-76.532
2026-01-05 00:00:00,36.77,22.7,35.21,3.4516,-76.532
2026-01-05 01:00:00,62.83,28.83,50.72,3.4516,-76.532
2026-01-05 02:00:00,60.59,27.38,60.66,3.4516,-76.532
2026-01-05 03:00:00,5.73,19.28,87.99,3.4516,-76.532
